SEQ_NO,FINAN_YEAR,ADMNSTMACH_CD,ADMNSTMACH_NM,TOT_ANEXPTR_BUDGET_PRICE,BEFORE_YEAR_ANEXPTR_BUDGET_PRICE,ANEXPTR_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_PRICE,BEFORE_YEAR_CLTUR_TURSM_BUDGET_PRICE,CLTUR_TURSM_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_RATE,TOT_POPLTN_CO,ONE_PSNBY_CLTUR_TURSM_BUDGET_PRICE
108,2016,4161000000,경기도 광주시,622893647000,600284626000,3.77,163070000,159096000,2.5,0.03,327723,498
109,2016,4163000000,경기도 양주시,585826697000,488945172000,19.81,521401000,897549000,-41.91,0.09,205513,2537
110,2016,4165000000,경기도 포천시,506209879000,562803903000,-10.06,671181000,770655000,-12.91,0.13,154763,4337
111,2016,4167000000,경기도 여주시,556411274000,514430678000,8.16,680350000,1689359000,-59.73,0.12,111563,6098
112,2016,4180000000,경기도 연천군,344616632000,344565068000,0.01,1415751000,797419000,77.54,0.41,45907,30840
113,2016,4182000000,경기도 가평군,414337741000,396018166000,4.63,80526000,81696000,-1.43,0.02,62448,1289
114,2016,4183000000,경기도 양평군,455252836000,439271431000,3.64,441638000,1023825000,-56.86,0.1,111367,3966
115,2016,4200000000,강원도,5633549162000,5146235899000,9.47,14912801000,17377460000,-14.18,0.26,1550806,9616
116,2016,4211000000,강원도 춘천시,1038979847000,995319650000,4.39,274261000,801320000,-65.77,0.03,280707,977
117,2016,4213000000,강원도 원주시,994270504000,904477389000,9.93,3359600000,4358840000,-22.92,0.34,337979,9940
118,2016,4215000000,강원도 강릉시,769231327000,710633317000,8.25,1558864000,1562250000,-0.22,0.2,213846,7290
119,2016,4217000000,강원도 동해시,347022191000,307454705000,12.87,394370000,166000000,137.57,0.11,93297,4227
120,2016,4219000000,강원도 태백시,311124667000,336386611000,-7.51,4000000,193700000,-97.93,0,47070,85
121,2016,4221000000,강원도 속초시,282206954000,272845473000,3.43,59220000,72360000,-18.16,0.02,81793,724
122,2016,4223000000,강원도 삼척시,464436252000,464289957000,0.03,2337510000,758312000,208.25,0.5,69599,33585
123,2016,4272000000,강원도 홍천군,464848192000,435014648000,6.86,93000000,239000000,-61.09,0.02,70076,1327
