"fclty_id","fclty_nm","area_addr","ctprvn_cd","ctprvn_nm","signgu_cd","signgu_nm","adstrd_cd","adstrd_nm","fclty_la","fclty_lo"
"KP0338","광주학생교육문화회관","광주광역시 서구 상무민주로 61 (쌍촌동)","24","광주광역시","24020","서구","2402057","유덕동","35.1557439","126.8585789"
"KP0339","광주극장","광주광역시 동구 충장로46번길 10 (충장로5가) ","24","광주광역시","24010","동구","2401051","충장동","35.1499109","126.9120834"
"KP0340","광주청소년삶디자인센터","광주광역시 동구 중앙로160번길 31-37 (황금동)","24","광주광역시","24010","동구","2401051","충장동","35.1475006","126.9160852"
"KP0341","광야아트센터","서울특별시 강남구 선릉로 806 (청담동) ","11","서울특별시","11230","강남구","1123078","청담동","37.5239003","127.0396632"
"KP0342","괜찮은 홀 [김포]","경기도 김포시 양촌읍 석모로 103 ","31","경기도","31230","김포시","3123013","양촌읍","37.6515804","126.6393991"
"KP0343","광산구청소년수련관","광주광역시 광산구 첨단중앙로182번길 39 (쌍암동) ","24","광주광역시","24050","광산구","2405069","첨단1동","35.2222111","126.8455053"
"KP0344","광주여자대학교","광주 광산구 산정동 산 105-1","24","광주광역시","24050","광산구","2405063","하남동","35.163733","126.7961697"
"KP0345","광천문예회관","충청남도 홍성군 광천읍 광천로 342","34","충청남도","34360","홍성군","3436012","광천읍","36.5045678","126.6249294"
"KP0346","국립아시아문화전당","광주광역시 동구 문화전당로 38 (광산동) 아시아문화전당","24","광주광역시","24010","동구","2401064","서남동","35.1470421","126.9199992"
"KP0347","국립남도국악원","전라남도 진도군 임회면 진도대로 3818 국립남도국악원","36","전라남도","36470","진도군","3647034","임회면","34.3851812","126.2258003"
"KP0348","구미시문화예술회관","경상북도 구미시 송정대로 89 (송정동 75)","37","경상북도","37050","구미시","3705051","송정동","36.1183904","128.3490375"
"KP0349","국기원","서울특별시 강남구 테헤란로7길 32 (역삼동) ","11","서울특별시","11230","강남구","1123064","역삼1동","37.5019899","127.03031"
"KP0350","국립국악원","서울특별시 서초구 남부순환로 2364 (서초동) 국립국악원","11","서울특별시","11220","서초구","1122051","서초1동","37.4778469","127.0088804"
"KP0351","구리행정복지센터","경기도 구리시 체육관로 74 (수택동) ","31","경기도","31120","구리시","3112057","수택2동","37.5915367","127.1386571"
"KP0352","국립부산국악원","부산광역시 부산진구 국악로 2 (연지동)","21","부산광역시","21050","부산진구","2105082","부전1동","35.1714598","129.0541302"
"KP0353","국민대학교 예술대학","서울특별시 성북구 정릉로 77 - 0 국민대학교 ","11","서울특별시","11080","성북구","1108062","정릉1동","37.6111506","126.9965758"
"KP0354","국민대학교 제로원디자인센터","서울특별시 종로구 동숭길 122-6 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5834187","127.0040336"
"KP0355","국립민속국악원","전라북도 남원시 양림길 54 - 0 국립민속국악원","35","전라북도","35050","남원시","3505054","노암동","35.4016075","127.3915049"
"KP0356","구리아트홀","경기도 구리시 아차산로 453 공연장 ","31","경기도","31120","구리시","3112053","인창동","37.5956526","127.1298837"
"KP0357","국제예술대학교","서울특별시 강남구 도산대로30길 47 (논현동) ","11","서울특별시","11230","강남구","1123052","논현1동","37.5169095","127.0310552"
"KP0358","국립과천과학관","경기도 과천시 상하벌로 110 (과천동)","31","경기도","31110","과천시","3111055","과천동","37.4382479","127.0057724"
"KP0359","국제아트홀","서울특별시 강남구 압구정로 162 (신사동)","11","서울특별시","11230","강남구","1123051","신사동","37.5263327","127.0274689"
"KP0360","구복예술촌","경상남도 창원시 마산합포구 구산면 해양관광로 1817","38","경상남도","38113","창원시 마산합포구","3811331","구산면","35.0704806","128.5666139"
"KP0361","구로구민회관","서울특별시 구로구 가마산로25길 21 (구로동)","11","서울특별시","11170","구로구","1117052","구로1동","37.4970218","126.8894459"
"KP0362","국립중앙박물관","서울특별시 용산구 서빙고로 137 (용산동6가) ","11","서울특별시","11030","용산구","1103069","서빙고동","37.5240867","126.9803881"
"KP0363","국립극단 [명동]","서울특별시 중구 명동길 35 (명동1가)","11","서울특별시","11020","중구","1102055","명동","37.5640461","126.9842201"
"KP0364","구로아트밸리","서울특별시 구로구 가마산로25길 9-24 (구로동)","11","서울특별시","11170","구로구","1117052","구로1동","37.496562","126.888992"
"KP0365","국립제주박물관","제주특별자치도 제주시 일주동로 17 (건입동)","39","제주특별자치도","39010","제주시","3901059","건입동","33.513425","126.548863"
"KP0366","권번문화예술원","전라북도 정읍시 산외면 공동길 66","35","전라북도","35040","정읍시","3504044","산외면","35.6161807","127.0198479"
"KP0367","글로벌JEY아트홀","경기도 안산시 단원구 당곡로 9 (고잔동)","31","경기도","31092","안산시 단원구","3109274","고잔동","37.3179887","126.8329151"
"KP0368","그린빈 버찌라이브하우스","대전광역시 중구 중교로 40 (대흥동)","25","대전광역시","25020","중구","2502055","대흥동","36.3253613","127.4242334"
"KP0369","극장 해프닝(구. 가온아트홀 3관)","부산광역시 남구 수영로298번길 41 (대연동)","21","부산광역시","21070","남구","2107070","대연1동","35.1351432","129.1000311"
"KP0370","궁동예술극장","광주광역시 동구 예술길 18-1 (궁동)","24","광주광역시","24010","동구","2401051","충장동","35.1500824","126.9181553"
"KP0371","글래드호텔 [여의도]","서울특별시 영등포구 의사당대로 16 (여의도동) ","11","서울특별시","11190","영등포구","1119054","여의동","37.5275159","126.9173126"
"KP0372","근대로아리소극장","대구광역시 중구 경상감영길 32 (서문로1가) 1층","22","대구광역시","22010","중구","2201059","성내2동","35.8710902","128.5892711"
"KP0373","굿씨어터","서울특별시 종로구 대학로 144 (혜화동)","11","서울특별시","11010","종로구","1101073","혜화동","37.5839822","127.0020846"
"KP0374","금사락","부산광역시 금정구 개좌로 162 (회동동) 예술지구 내 금사락","21","부산광역시","21110","금정구","2111073","금사회동동","35.2259618","129.1183303"
