RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
53364587,20230227,M,50대,경상북도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53364800,20230227,F,30대,전라북도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53364909,20230227,M,60대,서울특별시,700만원 이상,비슷하게,훨씬 더 많이,훨씬 더 많이
53365061,20230227,M,60대,강원도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53365148,20230227,M,50대,경기도,700만원 이상,약간 더 많이,비슷하게,약간 더 많이
53366095,20230227,M,30대,부산광역시,500이상700만원 미만,약간 더 많이,비슷하게,비슷하게
53366137,20230227,M,40대,대구광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53366288,20230227,M,50대,경기도,700만원 이상,약간 더 많이,훨씬 더 적게,약간 더 많이
53366750,20230227,M,40대,경기도,300이상500만원 미만,약간 더 적게,비슷하게,약간 더 적게
53366848,20230227,F,50대,광주광역시,300이상500만원 미만,비슷하게,비슷하게,약간 더 적게
53367281,20230227,M,30대,대구광역시,500이상700만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53367289,20230227,F,60대,인천광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53367393,20230227,M,60대,경기도,700만원 이상,약간 더 많이,약간 더 많이,훨씬 더 많이
53367952,20230227,M,60대,경기도,300이상500만원 미만,약간 더 많이,약간 더 많이,비슷하게
53368347,20230227,M,40대,경상남도,500이상700만원 미만,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53368720,20230227,F,20대,대전광역시,500이상700만원 미만,비슷하게,약간 더 많이,약간 더 많이
53369153,20230227,M,20대,경기도,700만원 이상,비슷하게,비슷하게,비슷하게
53369206,20230227,M,60대,충청남도(세종시 포함),300이상500만원 미만,비슷하게,훨씬 더 적게,비슷하게
53369381,20230227,F,60대,서울특별시,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53369398,20230227,M,40대,경기도,700만원 이상,약간 더 많이,약간 더 많이,훨씬 더 많이
53369795,20230227,M,60대,대구광역시,500이상700만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53370008,20230227,F,50대,경기도,700만원 이상,훨씬 더 많이,훨씬 더 많이,훨씬 더 많이
53370187,20230227,M,40대,경기도,500이상700만원 미만,비슷하게,약간 더 많이,비슷하게
53370285,20230227,M,30대,서울특별시,700만원 이상,비슷하게,비슷하게,비슷하게
53370509,20230227,M,40대,충청북도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53370587,20230227,M,60대,경상북도,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53371142,20230227,M,50대,경기도,700만원 이상,약간 더 많이,약간 더 많이,비슷하게
53371359,20230227,F,60대,전라북도,700만원 이상,약간 더 많이,약간 더 많이,비슷하게
53371379,20230227,M,20대,서울특별시,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53371694,20230227,F,60대,경기도,300이상500만원 미만,약간 더 많이,약간 더 많이,비슷하게
53371855,20230227,F,50대,경기도,300만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53371948,20230227,M,60대,경기도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53372073,20230227,F,20대,경기도,500이상700만원 미만,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53372139,20230227,F,60대,경기도,300이상500만원 미만,훨씬 더 많이,약간 더 많이,약간 더 많이
53372239,20230227,F,40대,울산광역시,300이상500만원 미만,약간 더 많이,비슷하게,약간 더 많이
53372274,20230227,M,60대,서울특별시,700만원 이상,약간 더 적게,약간 더 많이,약간 더 많이
53372678,20230227,F,30대,인천광역시,500이상700만원 미만,약간 더 적게,비슷하게,약간 더 적게
53372786,20230227,F,20대,대전광역시,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53373015,20230227,M,30대,대구광역시,300만원 미만,비슷하게,비슷하게,비슷하게
53373065,20230227,M,30대,광주광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53373380,20230227,F,50대,경기도,300이상500만원 미만,약간 더 많이,비슷하게,약간 더 많이
53373503,20230227,F,50대,충청북도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53373973,20230227,M,50대,경기도,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53374074,20230227,F,50대,경기도,300만원 미만,약간 더 적게,훨씬 더 적게,훨씬 더 적게
53374185,20230227,F,60대,경기도,300이상500만원 미만,약간 더 많이,약간 더 많이,비슷하게
53374213,20230227,F,60대,경기도,300이상500만원 미만,비슷하게,비슷하게,훨씬 더 많이
53374692,20230227,F,60대,경기도,500이상700만원 미만,약간 더 많이,약간 더 많이,비슷하게
53374728,20230227,M,50대,인천광역시,700만원 이상,훨씬 더 많이,비슷하게,훨씬 더 많이
53374937,20230227,F,40대,경상남도,500이상700만원 미만,훨씬 더 많이,훨씬 더 많이,훨씬 더 많이
53375037,20230227,F,30대,광주광역시,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53375145,20230227,M,50대,울산광역시,700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53375151,20230227,M,40대,경기도,300이상500만원 미만,훨씬 더 적게,비슷하게,비슷하게
53375277,20230227,M,60대,경기도,300만원 미만,비슷하게,비슷하게,약간 더 많이
53375667,20230227,F,60대,경기도,700만원 이상,비슷하게,비슷하게,비슷하게
53376321,20230227,M,40대,경상북도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 적게
53376412,20230227,M,50대,대구광역시,500이상700만원 미만,비슷하게,비슷하게,훨씬 더 적게
53376914,20230227,F,40대,대구광역시,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53376981,20230227,F,50대,전라북도,300이상500만원 미만,훨씬 더 적게,약간 더 적게,약간 더 적게
53377129,20230227,F,20대,부산광역시,모름,비슷하게,비슷하게,비슷하게
53377142,20230227,F,60대,강원도,300만원 미만,약간 더 많이,비슷하게,비슷하게
53377230,20230227,F,60대,서울특별시,700만원 이상,약간 더 적게,약간 더 적게,약간 더 적게
